ตารางแสดงปริมาณ น้ำมันแก๊สโซฮอล์อี 10 ออกเทน 91 ที่ผู้ค้าน้ำมันจำหน่ายให้ลูกค้าและผู้ใช้ในจังหวัดต่าง ๆ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
สาขา สถานีบริการ,,,,,,,,,,,,,,,
ตั้งแต่เดือน กรกฎาคม ถึง เดือน กรกฎาคม 2561,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,ปริมาณ /พันลิตร
ลำดับที่,จังหวัด,ปตท.,เชลล์,เอสโซ่,เชฟรอน(ไทย),บางจาก,ซัสโก้,พีทีจี,ไทยออยล์,ซัสโก้ ดีลเลอร์ส,ปตท. ค้าปลีก,น้ำมัน ไออาร์พีซี,ไออาร์พีซี,ปตท. น้ำมันและการค้าปลีก,รวมทั้งสิ้น
,กรุงเทพฯ และปริมณฑล,"3,926","1,745","13,737","3,527","16,194","1,401",72,,977,"6,608",,,"18,450","66,636"
1,กรุงเทพมหานคร,"3,520",97,"8,752","2,115","9,943","1,163",,,610,"2,567",,,"12,685","41,452"
2,สมุทรปราการ,251,"1,117","1,687",444,"2,954",90,,,162,977,,,"1,576","9,259"
3,นนทบุรี,,23,"1,251",457,"1,967",34,28,,205,"1,252",,,"1,790","7,006"
4,ปทุมธานี,154,507,"2,048",511,"1,330",114,44,,,"1,811",,,"2,399","8,919"
,ภาคกลาง,24,"1,344",830,750,"2,900",139,107,,111,"1,492",41,,"6,245","13,983"
5,พระนครศรีอยุธยา,,687,377,405,"1,144",20,34,,111,807,41,,"1,917","5,543"
6,อ่างทอง,,120,38,55,216,11,,,,,,,360,800
7,ลพบุรี,24,229,48,49,378,,15,,,327,,,"1,390","2,460"
8,สิงห์บุรี,,57,25,,87,,12,,,96,,,640,917
9,ชัยนาท,,63,114,9,161,,,,,,,,460,807
10,สระบุรี,,189,228,232,914,108,46,,,263,,,"1,478","3,457"
,ภาคตะวันออก,141,"5,043","2,264","1,705","4,421",310,393,"13,510",59,"4,648",76,83,"11,215","43,868"
