ตารางแสดงปริมาณ น้ำมันแก๊สโซฮอล์อี 10 ออกเทน 91 ที่ผู้ค้าน้ำมันจำหน่ายให้ลูกค้าและผู้ใช้ในจังหวัดต่าง ๆ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
11,ชลบุรี,9,"2,668",483,"1,030","2,355",8,194,"13,510",59,"3,368",,,"4,706","28,390"
12,ระยอง,,805,489,194,724,261,,,,376,76,83,"2,339","5,346"
13,จันทบุรี,,607,114,,185,,,,,,,,683,"1,588"
14,ตราด,,56,25,,78,,,,,,,,288,448
15,ฉะเชิงเทรา,,578,326,312,600,10,62,,,849,,,"1,193","3,930"
16,ปราจีนบุรี,,255,537,107,218,,18,,,,,,"1,118","2,253"
17,นครนายก,44,30,70,15,93,24,86,,,,,,538,901
18,สระแก้ว,88,44,219,48,168,7,33,,,55,,,349,"1,011"
,ภาคตะวันออกเฉียงเหนือ,811,"2,925","2,587","2,368","8,200",640,"1,201",,,"1,222",,,"28,381","48,334"
,ภาคตะวันออกเฉียงเหนือตอนบน,548,987,793,"1,758","4,427",342,589,,,938,,,"13,264","23,647"
19,ขอนแก่น,187,266,369,175,"1,227",113,64,,,581,,,"3,554","6,537"
20,อุดรธานี,200,249,36,719,"1,135",134,146,,,357,,,"1,533","4,509"
21,เลย,,,64,241,217,,42,,,,,,750,"1,314"
22,หนองคาย,,90,49,124,75,28,75,,,,,,655,"1,096"
23,มหาสารคาม,161,64,62,,676,36,64,,,,,,"1,511","2,574"
24,ร้อยเอ็ด,,,73,45,305,,82,,,,,,"1,535","2,040"
25,กาฬสินธุ์,,139,,90,170,16,40,,,,,,"1,051","1,505"
26,สกลนคร,,104,34,213,407,15,36,,,,,,"1,199","2,007"
27,นครพนม,,,51,84,157,,18,,,,,,807,"1,117"
28,มุกดาหาร,,,55,15,55,,18,,,,,,400,543
29,บึงกาฬ,,75,,52,3,,4,,,,,,271,405
,ภาคตะวันออกเฉียงเหนือตอนล่าง,263,"1,938","1,794",610,"3,773",298,612,,,284,,,"15,116","24,688"
30,นครราชสีมา,128,"1,047",845,202,"1,554",34,17,,,215,,,"4,569","8,609"
31,บุรีรัมย์,,268,160,107,505,118,78,,,,,,"1,908","3,144"
32,สุรินทร์,,194,304,25,568,118,218,,,,,,"1,791","3,218"
33,ศรีสะเกษ,,,150,78,202,,27,,,,,,"1,281","1,738"
34,อุบลราชธานี,135,384,110,168,421,,36,,,,,,"3,174","4,429"
35,ยโสธร,,,23,,69,,42,,,,,,700,834
36,ชัยภูมิ,,25,186,30,369,13,110,,,69,,,845,"1,647"
37,อำนาจเจริญ,,19,17,,15,,84,,,,,,386,521
38,หนองบัวลำภู,,,,,70,15,,,,,,,462,547
,ภาคเหนือ,12,"2,607","4,447","1,293","4,828",541,909,,245,"1,383",,,"15,019","31,284"
,ภาคเหนือบน,,"1,166","3,242",716,"2,941",391,653,,213,"1,207",,,"9,058","19,587"
39,เชียงใหม่,,630,"1,539",470,"1,572",62,51,,213,"1,108",,,"3,046","8,690"
40,ลำพูน,,95,359,,153,139,154,,,100,,,646,"1,646"
41,ลำปาง,,192,448,101,441,35,11,,,,,,"1,316","2,544"
42,อุตรดิตถ์,,20,90,24,209,16,27,,,,,,542,928
43,แพร่,,73,119,24,142,35,8,,,,,,509,910
44,น่าน,,102,22,,107,,35,,,,,,417,683
45,พะเยา,,,108,53,89,32,87,,,,,,661,"1,030"
46,เชียงราย,,54,556,44,228,72,180,,,,,,"1,576","2,711"
47,แม่ฮ่องสอน,,,,,,,100,,,,,,345,445
,ภาคเหนือตอนล่าง,12,"1,442","1,205",577,"1,887",150,256,,32,176,,,"5,961","11,697"
48,นครสวรรค์,12,231,380,80,450,,80,,,,,,"1,360","2,594"
49,อุทัยธานี,,20,,,274,,32,,,,,,324,650
50,กำแพงเพชร,,68,22,145,210,,,,32,,,,644,"1,122"
51,ตาก,,111,220,38,91,4,,,,77,,,492,"1,033"
52,สุโขทัย,,172,37,118,267,21,18,,,,,,489,"1,122"
53,พิษณุโลก,,561,111,99,315,112,59,,,99,,,"1,459","2,815"
54,พิจิตร,,154,198,57,175,,67,,,,,,545,"1,195"
55,เพชรบูรณ์,,124,238,39,105,13,,,,,,,648,"1,166"
,ภาคตะวันตก,106,"1,840","2,358",700,"2,896",191,475,,12,"1,177",,,"9,316","19,070"
56,ราชบุรี,,220,274,99,188,,108,,,200,,,"1,053","2,143"
57,กาญจนบุรี,46,271,176,70,211,74,100,,,,,,"1,027","1,975"
58,สุพรรณบุรี,,176,242,165,516,,32,,,,,,"1,565","2,696"
59,นครปฐม,39,116,621,75,888,72,235,,,404,,,"1,878","4,329"
60,สมุทรสาคร,,254,424,215,769,,,,12,450,,,"1,295","3,419"
61,สมุทรสงคราม,,173,63,35,77,,,,,,,,382,730
62,เพชรบุรี,,340,247,29,210,35,,,,123,,,860,"1,845"
63,ประจวบคีรีขันธ์,21,288,310,12,37,10,,,,,,,"1,255","1,933"
,ภาคใต้,64,"6,590","4,240","3,304","2,561",815,643,,,,,,"11,362","29,579"
,ภาคใต้ตอนบน,,"4,618","3,232","2,485","1,463",292,168,,,,,,"7,257","19,515"
64,นครศรีธรรมราช,,779,707,106,171,34,44,,,,,,"1,358","3,199"
65,กระบี่,,566,437,65,244,64,,,,,,,672,"2,048"
66,พังงา,,279,250,89,12,,24,,,,,,545,"1,199"
67,ภูเก็ต,,"1,930",711,"1,932",433,,,,,,,,"1,809","6,815"
68,สุราษฎร์ธานี,,852,976,231,461,194,15,,,,,,"1,935","4,664"
69,ระนอง,,30,99,50,42,,65,,,,,,47,334
70,ชุมพร,,182,51,12,100,,20,,,,,,892,"1,257"
,ภาคใต้ตอนล่าง,64,"1,971","1,008",819,"1,098",523,475,,,,,,"4,105","10,063"
71,สงขลา,64,"1,056",535,378,630,99,325,,,,,,"1,797","4,883"
72,สตูล,,48,,87,48,44,,,,,,,507,735
73,ตรัง,,295,340,94,266,223,44,,,,,,533,"1,795"
74,พัทลุง,,277,,112,15,,34,,,,,,365,803
75,ปัตตานี,,38,,,62,120,72,,,,,,391,683
76,ยะลา,,,,96,10,37,,,,,,,223,367
77,นราธิวาส,,258,134,51,67,,,,,,,,288,798
,ปริมาณรวมทั้งสิ้น,"5,083","22,093","30,464","13,647","42,000","4,037","3,800","13,510","1,404","16,529",117,83,"99,988","252,755"
