ตารางแสดงปริมาณ น้ำมันแก๊สโซฮอล์อี 10 ออกเทน 91 ที่ผู้ค้าน้ำมันจำหน่ายให้ลูกค้าและผู้ใช้ในจังหวัดต่าง ๆ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
สาขา อื่น ๆ,,,,,,,,,,,,,,,
ตั้งแต่เดือน กรกฎาคม ถึง เดือน กรกฎาคม 2561,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,ปริมาณ /พันลิตร
ลำดับที่,จังหวัด,ปตท.,เชลล์,เอสโซ่,เชฟรอน(ไทย),บางจาก,ซัสโก้,พีทีจี,ไทยออยล์,ซัสโก้ ดีลเลอร์ส,ปตท. ค้าปลีก,น้ำมัน ไออาร์พีซี,ไออาร์พีซี,ปตท. น้ำมันและการค้าปลีก,รวมทั้งสิ้น
,กรุงเทพฯ และปริมณฑล,,60,"7,681",714,,,,,,,,"6,599",200,"15,255"
1,กรุงเทพมหานคร,,60,"7,681",549,,,,,,,,"6,599",200,"15,090"
2,สมุทรปราการ,,,,,,,,,,,,,,
3,นนทบุรี,,,,32,,,,,,,,,,32
4,ปทุมธานี,,,,133,,,,,,,,,,133
,ภาคกลาง,,,,205,4,,,,,,,10,119,338
5,พระนครศรีอยุธยา,,,,164,,,,,,,,,,164
6,อ่างทอง,,,,,,,,,,,,,,
7,ลพบุรี,,,,,,,,,,,,,119,119
8,สิงห์บุรี,,,,,,,,,,,,,,
9,ชัยนาท,,,,,,,,,,,,,,
10,สระบุรี,,,,41,4,,,,,,,10,,55
,ภาคตะวันออก,,7,,170,,,,,,,,,21,198
11,ชลบุรี,,7,,106,,,,,,,,,21,134
12,ระยอง,,,,33,,,,,,,,,,33
13,จันทบุรี,,,,5,,,,,,,,,,5
14,ตราด,,,,,,,,,,,,,,
15,ฉะเชิงเทรา,,,,20,,,,,,,,,,20
16,ปราจีนบุรี,,,,,,,,,,,,,,
17,นครนายก,,,,,,,,,,,,,,
18,สระแก้ว,,,,6,,,,,,,,,,6
,ภาคตะวันออกเฉียงเหนือ,,17,68,970,,,,,,,,128,149,"1,332"
,ภาคตะวันออกเฉียงเหนือตอนบน,,9,,540,,,,,,,,28,32,609
19,ขอนแก่น,,9,,40,,,,,,,,,,49
20,อุดรธานี,,,,467,,,,,,,,,,467
21,เลย,,,,,,,,,,,,,,
22,หนองคาย,,,,,,,,,,,,,,
23,มหาสารคาม,,,,,,,,,,,,,,
24,ร้อยเอ็ด,,,,33,,,,,,,,28,,61
25,กาฬสินธุ์,,,,,,,,,,,,,,
26,สกลนคร,,,,,,,,,,,,,32,32
27,นครพนม,,,,,,,,,,,,,,
28,มุกดาหาร,,,,,,,,,,,,,,
29,บึงกาฬ,,,,,,,,,,,,,,
,ภาคตะวันออกเฉียงเหนือตอนล่าง,,8,68,430,,,,,,,,100,117,723
30,นครราชสีมา,,8,,303,,,,,,,,8,59,378
31,บุรีรัมย์,,,68,88,,,,,,,,,,156
32,สุรินทร์,,,,,,,,,,,,,6,6
33,ศรีสะเกษ,,,,39,,,,,,,,,11,50
34,อุบลราชธานี,,,,,,,,,,,,92,12,104
35,ยโสธร,,,,,,,,,,,,,29,29
36,ชัยภูมิ,,,,,,,,,,,,,,
37,อำนาจเจริญ,,,,,,,,,,,,,,
38,หนองบัวลำภู,,,,,,,,,,,,,,
,ภาคเหนือ,,35,729,32,,,,,,,,334,63,"1,192"
,ภาคเหนือบน,,31,729,,,,,,,,,334,63,"1,156"
39,เชียงใหม่,,,721,,,,,,,,,,,721
40,ลำพูน,,,,,,,,,,,,,,
41,ลำปาง,,,8,,,,,,,,,334,63,405
42,อุตรดิตถ์,,,,,,,,,,,,,,
43,แพร่,,,,,,,,,,,,,,
44,น่าน,,31,,,,,,,,,,,,31
45,พะเยา,,,,,,,,,,,,,,
46,เชียงราย,,,,,,,,,,,,,,
47,แม่ฮ่องสอน,,,,,,,,,,,,,,
,ภาคเหนือตอนล่าง,,4,,32,,,,,,,,,,36
48,นครสวรรค์,,,,,,,,,,,,,,
49,อุทัยธานี,,,,,,,,,,,,,,
50,กำแพงเพชร,,,,,,,,,,,,,,
51,ตาก,,,,,,,,,,,,,,
52,สุโขทัย,,4,,,,,,,,,,,,4
53,พิษณุโลก,,,,24,,,,,,,,,,24
54,พิจิตร,,,,8,,,,,,,,,,8
55,เพชรบูรณ์,,,,,,,,,,,,,,
,ภาคตะวันตก,,79,106,328,,,,,,,,20,110,642
56,ราชบุรี,,,,145,,,,,,,,,101,245
57,กาญจนบุรี,,,,84,,,,,,,,,3,87
58,สุพรรณบุรี,,,,,,,,,,,,,,
59,นครปฐม,,,,32,,,,,,,,,,32
60,สมุทรสาคร,,,,,,,,,,,,,,
61,สมุทรสงคราม,,3,,,,,,,,,,,,3
62,เพชรบุรี,,76,106,68,,,,,,,,20,,269
63,ประจวบคีรีขันธ์,,,,,,,,,,,,,6,6
,ภาคใต้,,150,11,"1,865",,,,,,,,93,"1,385","3,504"
,ภาคใต้ตอนบน,,115,,681,,,,,,,,84,55,935
64,นครศรีธรรมราช,,115,,383,,,,,,,,,7,505
65,กระบี่,,,,,,,,,,,,,,
66,พังงา,,,,,,,,,,,,,,
67,ภูเก็ต,,,,112,,,,,,,,,,112
68,สุราษฎร์ธานี,,,,186,,,,,,,,,30,216
69,ระนอง,,,,,,,,,,,,,18,18
70,ชุมพร,,,,,,,,,,,,84,,84
,ภาคใต้ตอนล่าง,,35,11,"1,185",,,,,,,,9,"1,330","2,569"
71,สงขลา,,24,11,"1,185",,,,,,,,9,"1,326","2,554"
72,สตูล,,,,,,,,,,,,,,
73,ตรัง,,11,,,,,,,,,,,,11
74,พัทลุง,,,,,,,,,,,,,,
75,ปัตตานี,,,,,,,,,,,,,,
76,ยะลา,,,,,,,,,,,,,,
77,นราธิวาส,,,,,,,,,,,,,4,4
,ปริมาณรวมทั้งสิ้น,,348,"8,594","4,285",4,,,,,,,"7,184","2,046","22,461"
