จังหวัด,จำนวน อปท. ที่กรอกข้อมูล,จำนวนเจ้าหน้าที่ปฏิบัติงาน (พนักงานดับเพลิง)    จำนวน(คน),รถดับเพลิง	จำนวน(คัน),"รถบรรทุกน้ำ ขนาดความจุน้อยกว่า 10,000 ลิตร   จำนวน(คัน)","รถบรรทุกน้ำ ขนาดความจุมากกว่า 10,000 ลิตร   จำนวน(คัน)",รถกระเช้า	จำนวน(คัน),รถบันได	จำนวน(คัน),เรือยนต์ดับเพลิง   จำนวน(ลำ),เครื่องดับเพลิงชนิดหาบหาม  จำนวน(เครื่อง),รถกู้ภัย จำนวน(คัน),รถสุขาเคลื่อนที่ จำนวน(คัน),เครื่องสูบน้ำ ขนาด 3 - 5 นิ้ว   จำนวน(เครื่อง),เครื่องสูบน้ำ  แยกเป็นชนิดหาบหาม   จำนวน(เครื่อง),เครื่องสูบน้ำ  แยกเป็นพญานาค   จำนวน(เครื่อง),เครื่องสูบน้ำ ขนาดมากกว่า 5 - 10 นิ้ว   จำนวน(เครื่อง),เครื่องสูบน้ำ ขนาดมากกว่า 10 นิ้ว   จำนวน(เครื่อง),รถบรรทุกดั้ม 6 ล้อ จำนวน(คัน),รถบรรทุกดั้ม 10 ล้อ จำนวน(คัน),รถพยาบาลฉุกเฉิน พร้อมอุปกรณ์ทางการแพทย์ จำนวน(คัน),รถหอน้ำ จำนวน(คัน),รถตรวจการณ์ จำนวน(คัน),เบาะลม จำนวน(อัน),เรือกู้ชีพ จำนวน(ลำ)
สตูล,42,105,15,33,6,26,0.0,0.0,59,15,1.0,18,10,8,2,3,14,1.0,26,1.0,5,0.0,12.0
สมุทรปราการ,49,743,147,58,46,47,18.0,18.0,100,22,17.0,122,80,42,115,71,21,2.0,29,8.0,38,4.0,10.0
สมุทรสงคราม,36,62,8,10,4,7,0.0,4.0,22,6,0.0,16,13,3,0,0,7,3.0,2,0.0,6,0.0,2.0
สมุทรสาคร,38,541,35,38,20,28,1.0,1.0,52,7,3.0,54,32,22,46,23,18,2.0,10,1.0,21,2.0,3.0
สระแก้ว,66,246,40,50,35,26,0.0,0.0,13,33,2.0,17,11,6,10,1,20,3.0,12,0.0,6,0.0,2.0
สระบุรี,109,748,67,120,40,71,4.0,10.0,93,32,6.0,111,53,58,98,14,26,2.0,21,3.0,41,1.0,13.0
สิงห์บุรี,42,174,26,36,10,20,0.0,1.0,68,10,2.0,87,48,39,62,12,14,0.0,9,1.0,7,1.0,0.0
สุโขทัย,91,402,40,83,23,40,0.0,0.0,44,61,0.0,106,54,52,105,18,35,5.0,13,0.0,8,1.0,4.0
สุพรรณบุรี,127,396,58,81,34,62,3.0,3.0,102,33,4.0,130,42,88,65,42,25,3.0,13,0.0,23,2.0,10.0
สุราษฎร์ธานี,138,329,43,68,43,36,3.0,5.0,85,43,9.0,55,35,20,22,3,48,6.0,20,1.0,18,3.0,104.0
สุรินทร์,173,639,83,85,16,29,3.0,1.0,247,79,4.0,55,48,7,23,8,7,0.0,38,0.0,9,0.0,8.0
