การใช้สิทธิเลือกตั้งสมาชิกวุฒิสภา นอกราชอาณาจักร,Unnamed: 1,Unnamed: 2,Unnamed: 3
วันที่ 16-23 มีนาคม 2557,,,
,,,
ประเทศ,เมือง,จำนวนผู้มีสิทธิในการเลือกตั้ง,จำนวนผู้มาใช้สิทธิเลือกตั้ง
กรีซ,กรุงเอเธนส์,374,175
กัมพูชา,กรุงพนมเปญ,905,63
กาตาร์,กรุงโดฮา,"3,602",131
เกาหลีใต้,กรุงโซล,"2,749",65
คาซัคสถาน,กรุงอัสตานา,20,19
คูเวต,คูเวต,"2,873",132
เคนยา,กรุงไนโรบี,236,169
แคนาดา,กรุงออตตาวา,793,146
แคนาดา,นครแวนคูเวอร์,699,128
จอร์แดน,กรุงอัมมาน,494,159
จีน,กรุงปักกิ่ง,915,174
จีน,นครกว่างโจว,429,42
จีน,นครคุนหมิง,445,93
จีน,นครเฉิงตู,222,101
จีน,นครซีอาน,40,29
จีน,นครเซี่ยงไฮ้,643,80
จีน,นครหนานหนิง,232,25
จีน,เมืองเซี่ยเหมิน,355,28
จีน,เมืองฮ่องกง,"5,841",169
ชิลี,กรุงซันติอาโก,27,14
เช็ก,กรุงปราก,491,50
ซาอุดีอาระเบีย,กรุงริยาด,893,118
ซาอุดีอาระเบีย,เมืองเจดดาห์,"3,586",179
เซเนกัล,กรุงดาการ์,39,11
ญี่ปุ่น,กรุงโตเกียว,"4,159",580
ญี่ปุ่น,นครโอซากา,896,206
เดนมาร์ก,กรุงโคเปนเฮเกน,"1,076",354
ติมอร์ - เลสเต,กรุงดิลี,88,23
ตุรกี,กรุงอังการา,456,103
ไต้หวัน,การค้าฯ ไทเป,"8,820","1,111"
นอร์เวย์,กรุงออสโล,656,235
นิวซีแลนด์,กรุงเวลลิงตัน,"1,978",316
เนเธอร์แลนด์,กรุงเฮก,997,64
เนปาล,กรุงกาฐมาณฑุ,108,43
ไนจีเรีย,กรุงอาบูจา,111,53
บราซิล,กรุงบราซิเลีย,91,54
บรูไน,บันดาร์เสรีเบกาวัน,"3,236",201
บังคลาเทศ,กรุงธากา,227,31
บาห์เรน,กรุงมานามา,"1,500",173
เบลเยียม,กรุงบรัสเซลส์,"1,206",196
ปากีสถาน,กรุงอิสลามาบัด,351,145
ปากีสถาน,เมืองการาจี,227,79
เปรู,กรุงลิมา,20,10
โปรตุเกส,กรุงลิสบอน,739,124
โปแลนด์,กรุงวอร์ซอ,248,48
ฝรั่งเศส,กรุงปารีส,"2,626",753
พม่า,กรุงย่างกุ้ง,388,80
ฟินแลนด์,กรุงเฮลซิงกิ,"2,230","1,136"
ฟิลิปปินส์,กรุงมะนิลา,278,56
มาดากัสการ์,กรุงอันตานานาริโว,"1,073",167
มาเลเซีย,กรุงกัวลาลัมเปอร์,"2,896",172
มาเลเซีย,เมืองโกตาบารู,591,180
มาเลเซีย,เมืองปีนัง,955,90
เม็กซิโก,กรุงเม็กซิโก,62,21
โมร็อกโก,กรุงราบัต,228,120
เยอรมนี,กรุงเบอร์ลิน,"3,380","1,298"
เยอรมนี,นครแฟรงก์เฟิร์ต,"5,794","3,031"
รัสเซีย,กรุงมอสโก,757,205
โรมาเนีย,กรุงบูคาเรสต์,29,10
ลาว,เวียงจันทน์,"2,914",528
ลาว,แขวงสะหวันนะเขต,648,15
ลิเบีย,กรุงตริโปลี,896,57
เวียดนาม,กรุงฮานอย,388,170
เวียดนาม,นครโฮจิมินห์,558,163
ศรีลังกา,กรุงโคลัมโบ,185,72
สเปน,กรุงมาดริด,436,162
สวิตเซอร์แลนด์,กรุงเบิร์น,"2,386",770
สวีเดน,กรุงสตอกโฮล์ม,"1,797",584
สหรัฐอเมริกา,กรุงวอชิงตัน,"3,171",959
สหรัฐอเมริกา,นครชิคาโก,"1,909",691
สหรัฐอเมริกา,นครนิวยอร์ก,"1,714",384
สหรัฐอเมริกา,นครลอสแอนเจลิส,"7,920","2,483"
สหรัฐอาหรับเอมิเรสต์,กรุงอาบูดาบี,"3,070",166
สหรัฐอาหรับเอมิเรสต์,เมืองดูไบ,"2,240",57
สหราชอาณาจักร,กรุงลอนดอน,"5,369","1,725"
สิงคโปร์,สิงคโปร์,"10,259",574
ออสเตรเลีย,กรุงแคนเบอร์รา,"2,402",647
ออสเตรเลีย,นครซิดนีย์,"3,800",488
ออสเตรีย,กรุงเวียนนา,"1,777",685
อาร์เจนตินา,กรุงบัวโนสไอเรส,40,18
อิตาลี,กรุงโรม,"1,780",178
อินเดีย,กรุงนิวเดลี,727,191
อินเดีย,เมืองกัลกัตตา,490,17
อินเดีย,เมืองเจนไน,228,48
อินเดีย,เมืองมุมไบ,213,32
อินโดนีเซีย,กรุงจาการ์ตา,782,262
อิสราเอล,กรุงเทลอาวีฟ,"6,992",400
อิหร่าน,กรุงเตหะราน,476,83
อียิปต์,กรุงไคโร,"2,591",220
แอฟริกาใต้,กรุงพริทอเรีย,"1,379",207
โอมาน,กรุงมัสกัต,554,42
ฮังการี,กรุงบูดาเปสต์,290,20
