ตารางแสดงปริมาณ น้ำมันดีเซลหมุนเร็ว ที่ผู้ค้าน้ำมันจำหน่ายให้ลูกค้าและผู้ใช้ในจังหวัดต่าง ๆ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
สาขา สถานีบริการ,,,,,,,,,,,,,,,,,,
ตั้งแต่เดือน กรกฎาคม ถึง เดือน กรกฎาคม 2561,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ปริมาณ /พันลิตร
ลำดับที่,จังหวัด,ปตท.,เชลล์,เอสโซ่,เชฟรอน(ไทย),บางจาก,ซัสโก้,พีทีจี,พี.ซี.สยาม,ยูนิคแก๊ส,ไทยออยล์,ซัสโก้ ดีลเลอร์ส,สยามเฆมี,ปตท. ค้าปลีก,น้ำมัน ไออาร์พีซี,ไออาร์พีซี,ปตท. น้ำมันและการค้าปลีก,รวมทั้งสิ้น
44,น่าน,,868,274,,754,,117,,,,,,,,,"2,237","4,251"
45,พะเยา,,,508,59,451,87,207,,,,,,,,,"2,386","3,698"
46,เชียงราย,,268,"4,164",663,"1,269",177,977,,,,,,,,,"5,897","13,414"
47,แม่ฮ่องสอน,,,,,32,,571,,,,,,,,,"1,405","2,008"
,ภาคเหนือตอนล่าง,28,"8,051","13,082","3,785","15,869","1,124","2,193",,,,52,,467,,,"31,535","76,185"
48,นครสวรรค์,28,"1,772","3,831",698,"4,251",,442,,,,,,,,,"6,335","17,356"
49,อุทัยธานี,,55,,,"1,269",,224,,,,,,,,,"1,135","2,683"
50,กำแพงเพชร,,659,537,838,"1,155",24,71,,,,52,,,,,"3,827","7,163"
51,ตาก,,788,"1,788",439,"3,224",24,,,,,,,300,,,"2,719","9,282"
52,สุโขทัย,,719,774,522,"1,547",196,308,,,,,,,,,"3,744","7,810"
53,พิษณุโลก,,"2,023","1,877",874,"1,594",550,656,,,,,,167,,,"6,102","13,841"
54,พิจิตร,,783,"2,364",164,"1,171",130,492,,,,,,,,,"2,988","8,092"
55,เพชรบูรณ์,,"1,251","1,912",251,"1,658",200,,,,,,,,,,"4,685","9,957"
,ภาคตะวันตก,184,"15,373","22,220","3,796","22,774",850,"2,164",,,,179,,"5,749",,30,"45,402","118,721"
56,ราชบุรี,,702,"1,309",407,"2,636",71,461,,,,,,842,,,"4,707","11,134"
57,กาญจนบุรี,88,"1,541","1,968",223,"1,103",190,892,,,,,,,,30,"5,346","11,381"
58,สุพรรณบุรี,,"1,245","2,336",404,"2,865",30,77,,,,,,,,,"7,645","14,602"
59,นครปฐม,49,"2,981","5,088",951,"8,207",314,734,,,,,,"2,056",,,"8,612","28,993"
60,สมุทรสาคร,,"2,760","5,019",737,"4,647",,,,,,179,,"2,160",,,"6,610","22,112"
61,สมุทรสงคราม,,"1,105","1,441",723,"1,098",,,,,,,,,,,"1,865","6,232"
62,เพชรบุรี,,"2,170","1,984",192,"1,889",137,,,,,,,691,,,"4,443","11,506"
63,ประจวบคีรีขันธ์,47,"2,870","3,073",160,329,108,,,,,,,,,,"6,173","12,760"
,ภาคใต้,174,"32,921","22,262","6,231","19,716","3,507","4,962",,,,,,,,391,"55,230","145,395"
,ภาคใต้ตอนบน,,"23,509","18,438","4,161","13,208","1,619","1,630",,,,,,,,391,"34,796","97,752"
64,นครศรีธรรมราช,,"4,978","5,107",472,"1,726",348,419,,,,,,,,,"7,837","20,886"
65,กระบี่,,"2,316","1,999",482,"1,335",272,,,,,,,,,,"3,264","9,667"
66,พังงา,,"1,271","1,141",235,61,,44,,,,,,,,,"2,184","4,936"
67,ภูเก็ต,,"4,981","1,716","1,434",539,,,,,,,,,,,"3,432","12,101"
68,สุราษฎร์ธานี,,"7,679","6,141",882,"8,148",999,298,,,,,,,,,"11,477","35,623"
69,ระนอง,,295,471,100,220,,543,,,,,,,,,755,"2,384"
70,ชุมพร,,"1,991","1,863",557,"1,179",,326,,,,,,,,391,"5,848","12,155"
,ภาคใต้ตอนล่าง,174,"9,412","3,824","2,071","6,508","1,888","3,332",,,,,,,,,"20,434","47,644"
71,สงขลา,174,"4,866","1,122",716,"3,541",249,"2,187",,,,,,,,,"8,453","21,308"
72,สตูล,,225,,127,253,217,,,,,,,,,,"2,512","3,334"
73,ตรัง,,"1,050","2,419",489,"1,495",600,58,,,,,,,,,"2,009","8,120"
74,พัทลุง,,"1,264",,222,226,,386,,,,,,,,,"2,231","4,328"
75,ปัตตานี,,916,,,551,695,594,,,,,,,,,"2,416","5,172"
76,ยะลา,,319,,364,130,127,107,,,,,,,,,"1,763","2,809"
77,นราธิวาส,,772,284,154,312,,,,,,,,,,,"1,051","2,573"
,ปริมาณรวมทั้งสิ้น,"10,522","169,790","183,100","53,882","190,179","14,536","22,639",,,"142,571","4,652",,"56,332",533,797,"421,440","1,270,972"
