ตารางแสดงปริมาณ น้ำมันแก๊สโซฮอล์อี 10 ออกเทน 95 ที่ผู้ค้าน้ำมันจำหน่ายให้ลูกค้าและผู้ใช้ในจังหวัดต่าง ๆ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
สาขา สถานีบริการ,,,,,,,,,,,,,,,
ตั้งแต่เดือน กรกฎาคม ถึง เดือน กรกฎาคม 2561,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,ปริมาณ /พันลิตร
ลำดับที่,จังหวัด,ปตท.,เชลล์,เอสโซ่,เชฟรอน(ไทย),บางจาก,ซัสโก้,พีทีจี,ไทยออยล์,ซัสโก้ ดีลเลอร์ส,ปตท. ค้าปลีก,น้ำมัน ไออาร์พีซี,ไออาร์พีซี,ปตท. น้ำมันและการค้าปลีก,รวมทั้งสิ้น
56,ราชบุรี,,183,374,126,281,3,213,,,263,,,"1,476","2,919"
57,กาญจนบุรี,15,192,245,72,254,98,161,,,,,,"1,306","2,342"
58,สุพรรณบุรี,,192,303,118,360,14,80,,,,,,"1,715","2,782"
59,นครปฐม,4,694,825,156,"1,095",91,412,,,587,,,"2,207","6,071"
60,สมุทรสาคร,,285,741,181,853,,,,12,569,,,"1,647","4,288"
61,สมุทรสงคราม,,153,72,64,122,,,,,,,,544,954
62,เพชรบุรี,,339,398,23,268,49,,,,218,,,"1,102","2,396"
63,ประจวบคีรีขันธ์,29,306,465,34,67,24,,,,,,,"1,685","2,610"
,ภาคใต้,140,"5,166","5,854","2,378","3,237","1,279","1,290",,,,,58,"16,961","36,363"
,ภาคใต้ตอนบน,,"3,308","4,248","1,595","1,632",375,379,,,,,58,"8,771","20,366"
64,นครศรีธรรมราช,,771,"1,369",159,274,92,110,,,,,,"2,215","4,990"
65,กระบี่,,333,406,62,232,25,,,,,,,784,"1,843"
66,พังงา,,161,295,80,15,,24,,,,,,450,"1,025"
67,ภูเก็ต,,"1,081",447,725,267,,,,,,,,"1,109","3,629"
68,สุราษฎร์ธานี,,756,"1,406",417,607,258,46,,,,,,"2,931","6,421"
69,ระนอง,,33,148,80,39,,127,,,,,,216,644
70,ชุมพร,,173,177,72,198,,72,,,,,58,"1,066","1,816"
,ภาคใต้ตอนล่าง,140,"1,858","1,606",783,"1,605",904,911,,,,,,"8,190","15,997"
71,สงขลา,140,"1,060",507,297,670,88,520,,,,,,"3,149","6,430"
72,สตูล,,65,,73,100,36,,,,,,,972,"1,246"
73,ตรัง,,193,"1,024",100,452,145,36,,,,,,722,"2,672"
74,พัทลุง,,206,,95,117,,112,,,,,,684,"1,214"
75,ปัตตานี,,152,,,124,616,197,,,,,,"1,263","2,353"
76,ยะลา,,81,,172,94,19,46,,,,,,933,"1,346"
77,นราธิวาส,,99,75,45,48,,,,,,,,467,735
,ปริมาณรวมทั้งสิ้น,"5,876","41,735","44,075","14,472","47,134","4,570","5,659","22,180","1,641","17,194",115,132,"107,765","312,548"
