ตารางแสดงปริมาณ น้ำมันแก๊สโซฮอล์อี 20 ที่ผู้ค้าน้ำมันจำหน่ายให้ลูกค้าและผู้ใช้ในจังหวัดต่าง ๆ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
สาขา สถานีบริการ,,,,,,,,,,,,,,
ตั้งแต่เดือน กรกฎาคม ถึง เดือน กรกฎาคม 2561,,,,,,,,,,,,,,
,,,,,,,,,,,,,,ปริมาณ /พันลิตร
ลำดับที่,จังหวัด,ปตท.,เชลล์,เอสโซ่,เชฟรอน(ไทย),บางจาก,ซัสโก้,พีทีจี,ไทยออยล์,ซัสโก้ ดีลเลอร์ส,สยามเฆมี,ปตท. ค้าปลีก,ปตท. น้ำมันและการค้าปลีก,รวมทุกสาขา
,ภาคใต้,106,"4,669","1,674",591,"1,831",166,392,,,,,"9,271","18,700"
,ภาคใต้ตอนบน,,"3,167","1,033",438,"1,045",6,45,,,,,"4,872","10,607"
64,นครศรีธรรมราช,,844,284,54,188,,33,,,,,"1,312","2,716"
65,กระบี่,,315,166,27,179,3,,,,,,422,"1,112"
66,พังงา,,104,48,28,,,,,,,,269,449
67,ภูเก็ต,,887,243,193,159,,,,,,,470,"1,951"
68,สุราษฎร์ธานี,,864,237,100,364,3,12,,,,,"1,481","3,061"
69,ระนอง,,39,,22,50,,,,,,,149,260
70,ชุมพร,,114,56,14,105,,,,,,,769,"1,058"
,ภาคใต้ตอนล่าง,106,"1,502",640,153,786,160,347,,,,,"4,399","8,094"
71,สงขลา,106,904,354,61,399,15,252,,,,,"1,955","4,047"
72,สตูล,,34,,14,31,,,,,,,317,397
73,ตรัง,,149,265,30,268,13,,,,,,411,"1,137"
74,พัทลุง,,218,,,,,14,,,,,455,687
75,ปัตตานี,,109,,,38,132,81,,,,,560,920
76,ยะลา,,,,48,,,,,,,,326,375
77,นราธิวาส,,87,21,,50,,,,,,,374,533
,ปริมาณรวมทั้งสิ้น,"3,263","26,349","17,737","3,701","33,926",604,700,"5,006",252,,"13,111","71,840","176,489"
